feature,coef
search_to_edit_ratio,1.4778643798138449
n_install,0.7814942096992729
max_command_repeat_count,-0.710032224015805
n_model_tokens_approx,0.5589335719678988
same_test_command_repeated,0.49017739462413895
n_environment,0.4291310987518085
n_test_runs,-0.4165559863077385
n_test,-0.4165559863077385
same_action_type_streak,0.3674015110209232
n_observation_chars,0.26235720940806684
edit_to_read_ratio,0.2578446221991763
n_read,0.2557367556254206
n_submit,-0.24914522392735008
edited_before_any_read,0.2401350866126286
read_same_file_repeatedly,-0.22079628749279498
avg_observation_chars,-0.19561456877510344
n_unique_files_edited,0.1952505811312328
n_actions_seen,0.16733008377494524
prefix_step,0.16733008377494524
edit_test_edit_test_loop_count,0.1649963716110439
n_search,-0.15449063669538882
repeated_exact_command_last_5,0.14675280091443926
n_other,0.1357073616209531
repeated_exact_command_last_3,0.13456212310525914
n_src_files_touched,-0.1322993582377474
last_test_returncode,-0.12816121576377548
n_unique_files_seen,-0.12541881472347435
n_tracebacks_seen,-0.124749260021991
last_test_fail_count,0.1067210403978803
n_unique_dirs_edited,-0.10483940206733838
test_to_edit_ratio,0.09598409550887092
edited_before_any_search,-0.08407692765779429
edited_file_never_read_count,-0.07772508381614625
n_unique_files_read,0.05988553402906301
first_edit_step,-0.05312348610394659
n_git,-0.051275588301890225
n_assertion_errors_seen,-0.04187078699254788
last_test_pass_count,0.018489894383591245
tests_improving,-0.01734519589530882
n_test_files_touched,-0.016570411104481722
test_fail_count_delta,0.014426380236058974
n_searches_before_first_edit,-0.014056033322151329
n_edit,0.00869093396798989
tests_worsening,-0.008058172863434876
same_file_edit_count_max,-0.003653881562710919
n_reads_before_first_edit,0.003451680372368787
